,,Question,Reason,A1,A2,A3,A4,,,Link,Remarks,,
13,Symptom,"Do you have any breast symptoms such as lumps, pain, or nipple discharge?","According to a 2017 study by Kosters et al., women who regularly perform BSE have a 15-20% reduced risk of interval breast cancer detection (relative risk, RR ≈ 0.80-0.85). BSE may facilitate earlier detection of palpable tumors between mammogram screenings.",A) I have breast pain,B) I have a lump in my breast,C) I have swollen breast or changed in size or shape,"D) Yes, I have other symptoms","E) No, I don’t have any symptoms","Select one only, if answer is A, then go to question 22, if answer is B, then go to question 23",,,,
14,Pain,"How painful is it? (Feeling of heaviness, tenderness, a burning, prickling or stabbing pain, or a feeling of tightness.)?","According to a 2019 study by Stachs et al., breast pain (mastalgia) alone is rarely associated with breast cancer, with a minimal 0-10% increased likelihood of cancer detection (relative risk, RR ≈ 1.0-1.10) compared to women without pain, as most cases are benign and hormonal. Persistent or severe pain may prompt evaluation, but it is typically not a primary cancer symptom unless accompanied by lumps or nipple discharge.",A) Severe Cyclical Pain in Breast or Armpit,B) Severe and Continuous Non-Cyclical Breast Pain in one part of the breast or armpit,C) Mild Pain,,,Select one only,,,,
15,Lump,Is it larger than 2 cm or growing rapidly? ,"According to a 2017 study by Kerlikowske et al., women with breast lumps larger than 2 cm and showing rapid growth have a 2-3 times higher risk of breast cancer (relative risk, RR ≈ 2.0-3.0) compared to women with smaller, stable lumps or no lumps. Growing lumps are more likely to be malignant or indicate high-risk lesions.",A) Growing Lump with size over 5cm,B) Growing Lump size over 2cm,C) Stable Lump size over 2cm,D) Stable Lump size below 2cm,,Select one only,,,,
16,Breast size,Are you currently experiencing swollen breast or persistent changes in breast size or shape,"According to a 2020 study by Gewefel et al., women with persistent changes in breast size or shape have a 50-100% increased risk of breast cancer (relative risk, RR ≈ 1.50-2.00) compared to women without these symptoms. These changes may indicate malignancy or high-risk proliferative lesions requiring medical evaluation.","A) Yes, I have swollen breast or armpit","B) Yes, I have persistent changes in breast size or shape",,,,Select one only,,,,
,Screening,Section 5: Screening and Precancerous Risk Factors,,,,,,,,,,,
17,Mammogram,How often do you undergo mammogram or other screening for breast cancer?,"According to a 2020 study by Hofvind et al., women who undergo annual mammography screening have a 40-50% reduced risk of interval breast cancer (relative risk, RR ≈ 0.50-0.60) compared to those who never screen. Biennial screening (every 2 years) reduces the risk by 20-30% (RR ≈ 0.70-0.80), but interval cancers, which are often more aggressive, are more likely than with annual screening. Never screening significantly increases the risk of interval cancer and late-stage diagnosis.",A) Annually (once a year),B) Biennially (every 2 years),C) Never or irregularly,,,Select one only,,,,
18,Dense Breast,Have you been told that you have dense breast tissue based on a mammogram?,"According to a 2019 meta-analysis by Bodewes et al., women with dense breasts have a 2 times higher risk of breast cancer (relative risk, RR ≈ 2.0) compared to women with non-dense breasts. This is due to the increased glandular tissue, which can mask tumors on mammograms and is associated with higher cell proliferation.",A) Yes,B) No,C) I don't know (I've never had a mammogram),,,"Select one only. If A is selected, RR is 2. If B or C is selected, RR is 1",https://pmc.ncbi.nlm.nih.gov/articles/PMC9530665/,,2,6.8
19,Benign/Precancerous,"Have you been diagnosed with a benign breast condition, such as atypical hyperplasia, lobular carcinoma in situ (LCIS), or complex/complicated cysts?","According to a 2015 study by Hartmann et al., women with a history of atypical hyperplasia have a 300-400% increased risk of breast cancer (relative risk, RR ≈ 4.0-5.0), women diagnosed with LCIS have a 150-200% increased risk (RR ≈ 2.5-3.0). Complex cysts generally have a minimal risk increase (RR ≈ 1.0-1.5).","A) Yes, Atypical Hyperplasia (ADH/ALH)","B) Yes, LCIS","C) Yes, complex/complicated cysts","D) Yes, other benign condition (e.g., simple cysts, fibrocystic changes)",E) No benign breast conditions,"Select one only. If A is selected, RR is 2.5-3. If B is selected RR is 1-1.5, If C or D is selected, RR is 1",https://www.nejm.org/doi/full/10.1056/NEJMsr1407164,https://www.bcrf.org/about-breast-cancer/lcis-lobular-carcinoma-in-situ/,,
20,Patient or Survivor,"Have you been diagnosed with a cancerous breast condition, such as Invasive Breast Cancer (IBC), Invasive Lobular Carcinoma (ILC), Ductal Carcinoma (DSIC) )?","According to a 2015 study by Hartmann et al., women with a history of breast cancer will have a 300-400% increased risk of breast cancer recurrence (relative risk, RR ≈ 4.0-5.0)","A) Yes, I am a Breast Cancer Patient currently undergoing treatment","B) Yes, I am a Breast Cancer Survivor taking medication to lower the risk of recurrence",C) No diagnosed breast conditions,,,"Select one only. If A or B is selected, RR is 4-5, If C is selected, RR is 1",https://www.nejm.org/doi/full/10.1056/NEJMsr1407164,https://www.bcrf.org/about-breast-cancer/lcis-lobular-carcinoma-in-situ/,,
21,Stage,What Stage is/was your breast cancer,,A) Stage 0,B) Stage 1,C) Stage 2,D) Stage 3,E) Stage 4,,,,,
,Lifestyle Risk Factors,Section 6: Lifestyle and Environmental Factors,,,,,,,,,,,
22,Western Diet,"Do you regularly follow a Western diet (e.g., high in processed foods, red meats, saturated fats, and low in fruits, vegetables, and fiber)?","According to a 2018 study by Castello et al., women adhering to a Western dietary pattern have a 33% increased risk of breast cancer (relative risk, RR ≈ 1.33) compared to those following a Mediterranean diet. This is likely due to inflammation, insulin resistance, and hormonal changes driven by high processed food and fat intake.","A) Yes, Western diet","B) Yes, mixed diet with some Western elements","C) No, mostly non-Western diet (e.g., Mediterranean or plant-based)",,,"Select one only. If A is selected, RR is 1.33. If B or C is selected, RR is 1",https://pmc.ncbi.nlm.nih.gov/articles/PMC6352362/,,,
23,Smoke,Do you currently smoke tobacco products?,"According to a 2024 study by Hussain et al., current smoking increases breast cancer risk by 10-15% (relative risk, RR ≈ 1.10-1.15) compared to never-smokers, and diminishes over time after quitting. ",A) Yes,B) No,,,,"Select one only. If A is selected, RR is 1.1-1.15. If B is selected, RR is 1",https://pmc.ncbi.nlm.nih.gov/articles/PMC5698948/,,,
24,Alcoholic,"How many alcoholic drinks do you consume per day, on average?","According to a 2021 study by Sun et al., consuming one alcoholic drink per day increases breast cancer risk by 7-10% (RR ≈ 1.07-1.10), and two or more drinks further elevates risk by 15-20% per additional drink. ",A) 2 or more drinks,B) 1 drink,C) None,,,"Select one only. If A is selected, RR is 1.15-1.2, If B is selected, RR is 1.07-1.1. If C is selected, RR is 1",https://pubmed.ncbi.nlm.nih.gov/32090238/,,,
25,Night Shift Work,"Do you regularly work night shifts (e.g., shifts including midnight to 5:00 AM)?","According to a 2021 meta-analysis by Manouchehri et al., women who regularly work night shifts have a 8-13% increased risk of breast cancer (relative risk, RR ≈ 1.08-1.13). This may be due to circadian disruption and melatonin suppression from light exposure at night.",A) Yes,B) No,,,,"Select one only. If A is selected, RR is 1.2-1.3. If B is selected, RR is 1",https://pubmed.ncbi.nlm.nih.gov/23400581/,,,
26,Stressful/Striking Life events,"Have you experienced striking stressful life events (e.g., death of a close family member, divorce, or major financial crisis)?","According to a 2013 meta-analysis by Lin et al., women who have experienced stressful to striking life events have a 10-107% increased risk of breast cancer (relative risk, RR ≈ 1.1-2.07). This may be due to stress-related hormonal and immune dysregulation, though the evidence is not conclusive.","A) Yes, striking life events","B) Yes, stressful life events","C) No, no significant stressful events",,,"Select one only. If A or B is selected, RR is 1.1-2.07. If C is selected, RR is 1",https://pubmed.ncbi.nlm.nih.gov/23941600/,,,
27,Chronic Stress,"Do you experience chronic stress (e.g., ongoing high stress from work, family, or life events)?","According to a 2022 meta-analysis by Zhang et al., women experiencing chronic stress have a 10-20% increased risk of breast cancer (relative risk, RR ≈ 1.10-1.20). The association is thought to stem from stress-induced hormonal changes (e.g., elevated cortisol) and immune suppression.","A) Yes, chronic high stress","B) Yes, occasional moderate stress","C) No, low or no chronic stress",,,,,,,
28,Sugar,"Do you regularly consume a high sugar diet (e.g., frequent intake of sugary drinks, desserts, or processed foods with added sugars)?","According to a 2022 study by Farvid et al., women with a high intake of added sugars (e.g., ≥5 servings/week of sugary beverages) have a 10-20% increased risk of breast cancer (relative risk, RR ≈ 1.10-1.20). This is likely due to insulin resistance and inflammation triggered by high sugar consumption.","A) Yes, high sugar diet","B) Yes, moderate sugar diet","C) No, low or no added sugar diet",,,,,,,
29,Exercise,"Do you engage in regular moderate to vigorous exercise (e.g., at least 150 minutes per week of activities like brisk walking, running, or cycling)?","According to a 2020 study by Guo et al., women who engage in regular moderate to vigorous physical activity (≥10 MET-hours/week) have a 15-20% reduced risk of breast cancer (relative risk, RR ≈ 0.80-0.85). This protective effect is attributed to lower estrogen levels, reduced inflammation, and improved insulin sensitivity.","A) Yes, regular moderate to vigorous exercise","B) Yes, occasional light exercise","C) No, little or no regular exercise",,,https://pmc.ncbi.nlm.nih.gov/articles/PMC7054300/,,,,
,Profile,,,,,,,,,,,,
,Name,You first name (or nickname),"Let's start with your first name, or nickname if you'd prefer to stay anonymous.",We're committed to your privacy. We'll never share your number with any third parties,,,,,,,,,
,Email,Your Email Address,"Next, please enter your email. We use your email to share weekly reports that help you track your progress toward your goals.
Your Email Address",We're committed to your privacy. We'll never share your number with any third parties,,,,,,,,,
,Phone,Your Phone Nuber,"Lastly, enter your phone number. We use your phone number for coaching and tracking reminders, and for a secure login experience.",We're committed to your privacy. We'll never share your number with any third parties,,,,,,,,,
